___________NETWORKING DATA______

device_id,timestamp,location,ip_address,mac_address,device_type,latency_ms,packet_loss_percent,bandwidth_mbps,status
RTR-LON-001,2026-05-29T08:15:22Z,London-Central,10.10.1.1,00:1A:2B:3C:4D:01,Router,12,0.1,950,UP
SW-LON-014,2026-05-29T08:15:25Z,Canary-Wharf,10.10.2.14,00:1A:2B:3C:4D:14,Switch,3,0.0,1000,UP
FW-LON-003,2026-05-29T08:15:31Z,Westminster,10.10.3.3,00:1A:2B:3C:4D:03,Firewall,8,0.0,850,UP
AP-LON-118,2026-05-29T08:15:44Z,Greenwich,10.10.4.118,00:1A:2B:3C:4D:118,AccessPoint,18,0.5,320,DEGRADED
RTR-LON-009,2026-05-29T08:16:02Z,Heathrow,10.10.1.9,00:1A:2B:3C:4D:09,Router,25,1.2,740,UP
SW-LON-021,2026-05-29T08:16:15Z,Camden,10.10.2.21,00:1A:2B:3C:4D:21,Switch,5,0.0,980,UP
AP-LON-222,2026-05-29T08:16:20Z,Shoreditch,10.10.4.222,00:1A:2B:3C:4D:222,AccessPoint,30,2.4,210,DOWN
FW-LON-007,2026-05-29T08:16:33Z,Southwark,10.10.3.7,00:1A:2B:3C:4D:07,Firewall,7,0.1,910,UP
RTR-LON-015,2026-05-29T08:16:49Z,Paddington,10.10.1.15,00:1A:2B:3C:4D:15,Router,11,0.0,990,UP
SW-LON-030,2026-05-29T08:17:03Z,Wembley,10.10.2.30,00:1A:2B:3C:4D:30,Switch,9,0.2,870,UP
